Chooser	LeftChosen	RightChosen	ChooserSpecies	ChooserSex	ChosenExperience	CrossFoster	VisitedBothInAccl	StartRecordTime	TotalTrialLength	LeftinLeft	LeftinCenter	LeftinRight	CenterinLeft	CenterinCenter	CenterinRight	RightinLeft	RightinCenter	RightinRight	CenterGlobalOverlapWithLeft	CenterGlobalOverlapWithRight	CenterOverlapWithLeftinLeft	CenterOverlapWithRightinRight	PrefForLeft	PrefForRight	PrefForL	PrefForG	PrefInd	Mate
LLM539cf	LLF556	GOF643	L	M	virgin	cf	Y	20.02.2014 11:18:58	158317	161635	28	0	18824	71792	67701	0	1250	160413	18062	26978	18054	26452	0.40565317	0.59434683	0.40565317	0.59434683	H	H
LLM541cf	GOF648	LLF558	L	M	virgin	cf	Y	24.02.2014 15:13:00	162910	342769	0	0	18487	142311	2112	0	0	342769	15178	1903	15178	1903	0.888589661	0.111410339	0.111410339	0.888589661	H	H
LLM534cf	LLF559	GOF649	L	M	virgin	cf	N	07.03.2014 05:40:51	149865	116361	8154	11496	9284	138771	1810	0	0	136011	12312	7028	251	7028	0.034482759	0.965517241	0.034482759	0.965517241	H	H
LLF195	LLM075	GOM230	L	F	experienced	pure	Y	28.03.2012 08:56:02	162954	156127	6827	0	5876	155176	1902	0	0	162954	5876	1902	504	1902	0.209476309	0.790523691	0.209476309	0.790523691	H	
LLF215	GOM238	LLM180	L	F	experienced	pure	Y	14.04.2012 09:00:11	145511	145511	0	0	1552	132204	11755	0	24375	121136	1552	11755	1552	8461	0.154998502	0.845001498	0.845001498	0.154998502	C	
LLF206	LLM052	GOM230	L	F	experienced	pure	Y	03.05.2012 12:39:0	151097	147218	3879	0	126395	24207	495	0	7	151090	126395	495	125090	495	0.996058446	0.003941554	0.996058446	0.003941554	C	
LLF220B	LLM038	GOM314	L	F	experienced	pure	Y	22.06.2012 07:05:30	135210	135210	0	0	11943	121567	1700	0	567	134643	11943	1700	11943	1642	0.879131395	0.120868605	0.879131395	0.120868605	C	
LLF222	LLM075	GOM239	L	F	experienced	pure	N	20.07.2012 09:57:22	147168	145369	1799	0	19369	123141	4658	0	0	147168	19369	4658	17699	4658	0.791653621	0.208346379	0.791653621	0.208346379	C	H
LLF223	GOM335	LLM180	L	F	experienced	pure	Y	31.07.2012 12:57:08	245149	244872	277	0	28468	49903	166778	36301	105648	103200	28468	166778	28436	72674	0.281238255	0.718761745	0.718761745	0.281238255	C	Both
LLF230	GOM238	LLMunp222	L	F	experienced	pure	Y	27.09.2012 10:04:06	158618	158566	52	0	3278	139284	16056	0	0	158618	3278	16056	3278	16056	0.169545878	0.830454122	0.830454122	0.169545878	C	
LLMunp222	LLF229	GOF361	L	M	experienced	pure	N	13.12.2012 10:16:15	150115	99455	22174	28486	98158	51523	434	98158	51068	889	98158	434	80675	434	0.994649176	0.005350824	0.994649176	0.005350824	C	
LLM242	GOF394	LLF70	L	M	virgin	pure	N	25.01.2013 09:40:43	150043	148763	1280	0	9034	15240	125769	0	20	150023	9034	125769	8094	125749	0.060473839	0.939526161	0.939526161	0.060473839	C	
LLM252	GOF387	LLF242C	L	M	virgin	pure	Y	11.02.2013 10:50:18	154717	111953	42435	329	4766	83472	66479	0	0	154717	4766	66479	2281	66479	0.033173357	0.966826643	0.966826643	0.033173357	C	
LLM255	LLF262	GOF395	L	M	virgin	pure	Y	18.02.2013 09:04:56	147860	147692	168	0	28369	119392	99	0	0	147860	28369	99	28302	99	0.996514207	0.003485793	0.996514207	0.003485793	C	
LLM261	GOF390	LLF257	L	M	virgin	pure	Y	28.02.2013 10:40:07	158988	33132	1236	124620	26266	127674	5048	123630	1493	33865	26266	5048	16736	3200	0.839486356	0.160513644	0.160513644	0.839486356	H	
LLM259	LLF241C	GOF392	L	M	virgin	pure	Y	04.03.2013 08:57:50	147470	142304	4466	700	6847	121744	18879	6847	120505	20118	6847	18879	6064	18879	0.243114301	0.756885699	0.243114301	0.756885699	H	
LLF312	LLM272	GOM426	L	F	virgin	pure	Y	31.05.2013 13:18:37	73497	73497	0	0	14660	53318	5519	0	0	73497	10123	2763	10123	2763	0.785581251	0.214418749	0.785581251	0.214418749	C	
LLM313	LLF318	GOF419	L	M	virgin	pure	N	07.06.2013 15:47:00	171718	140905	30813	0	46623	124809	286	0	0	171718	46623	286	44999	286	0.993684443	0.006315557	0.993684443	0.006315557	C	
LLM307	GOF480	LLF318	L	M	virgin	pure	Y	19.06.2013 13:45:00	165540	165540	0	0	528	31298	133714	38004	18418	109118	528	133714	528	89906	0.005838512	0.994161488	0.994161488	0.005838512	C	C
LLF328	LLM327	GOM483	L	F	virgin	pure	Y	23.06.2013 12:59:27	161912	161912	0	0	22425	139135	352	0	0	161912	22425	352	22425	352	0.984545814	0.015454186	0.984545814	0.015454186	C	
LLF334	GOM478	LLM329	L	F	virgin	pure	Y	02.07.2013 22:37:56	196852	196852	0	0	59	121489	75304	0	0	196852	59	75304	59	75304	0.000782878	0.999217122	0.999217122	0.000782878	C	C
LLF333	LLM322	GOM447	L	F	virgin	pure	Y	07.07.2013 13:03:00	162016	162016	0	0	17293	134750	9973	0	1152	160864	17293	9973	17293	8930	0.659459253	0.340540747	0.659459253	0.340540747	C	C
